gas_price_usd_mmbtu,ppa_price_usd_kwh,project_npv_usd,project_irr_pct,equity_irr_pct,min_dscr
5.0,0.08,2111654.372754366,11.009715823456645,14.220125833526254,1.247395315983327
5.0,0.1,19164230.49171672,17.887810291722417,29.265011427924037,1.7580923215718383
5.0,0.12,36216806.610679075,23.557120515033603,42.81095038168132,2.2687893271603494
5.0,0.14,53269382.729641445,28.6368187982589,55.76554709114134,2.7794863327488613
5.0,0.16,70321958.8486038,33.369551645591855,68.40670299716294,3.2901833383373726
5.0,0.18,87374534.96756613,37.87527489475906,80.8571478817612,3.8008803439258836
5.0,0.2,104427111.0865285,42.22170510329306,93.18285970948637,4.311577349514395
5.0,0.22,121479687.20549086,46.45060324110091,,4.822274355102906
6.0,0.08,-6753043.372785943,6.532908091321588,5.149801122024655,0.8360585450803555
6.0,0.1,10662874.790532049,14.54495214857161,21.33083795197308,1.3467555506688667
6.0,0.12,27715450.909494396,20.565687166526914,34.801433281973004,1.8574525562573778
6.0,0.14,44768027.02845676,25.813303561881185,47.58331053890288,2.3681495618458897
6.0,0.16,61820603.147419125,30.636448552832007,60.06281482987106,2.878846567434401
6.0,0.18,78873179.26638146,35.19379463978112,72.37470834515989,3.389543573022912
6.0,0.2,95925755.38534382,39.570393739268184,84.58244311623275,3.9002405786114234
6.0,0.22,112978331.50430618,43.816785560920835,96.72167687676847,4.410937584199934
7.0,0.08,-17552766.109123968,,,0.42472177417738377
7.0,0.1,2052233.537239864,10.914761433377862,13.601351296529174,0.9354187797658949
7.0,0.12,19214095.20830971,17.49843773432076,27.231433941051364,1.4461157853544062
7.0,0.14,36266671.32727209,22.968713333830237,39.78144056163728,1.956812790942918
7.0,0.16,53319247.44623444,27.905652346089482,52.02921167947352,2.467509796531429
7.0,0.18,70371823.56519678,32.52560463733971,64.14581411518157,2.9782068021199404
7.0,0.2,87424399.68415914,36.937639163807034,76.19214369915426,3.4889038077084518
7.0,0.22,104476975.80312152,41.20390969328582,88.19671836681664,3.9996008132969627
8.0,0.08,-29647872.64893612,,,0.003719570302140056
8.0,0.1,-7354864.662312262,6.552836066111922,5.409582471475005,0.5240820088629239
8.0,0.12,10712739.507125037,14.310627290979028,20.10859758593142,1.034779014451435
8.0,0.14,27765315.626087412,20.086932787671685,32.42426081560552,1.5454760200399469
8.0,0.16,44817891.745049745,25.17079901881516,44.37015834264457,2.0561730256284583
8.0,0.18,61870467.86401211,29.868458164855838,56.22368766926229,2.566870031216969
8.0,0.2,78923043.98297448,34.32313338853419,68.05431195534766,3.0775670368054806
8.0,0.22,95975620.1019368,38.61262355931103,79.88219750113785,3.5882640423939915
9.0,0.08,-41792666.50777137,,,
9.0,0.1,-17781199.013260953,0.9750715922564268,,0.11274523795995285
9.0,0.12,1605468.9155398498,10.66513960249722,12.775852484628558,0.623442243548464
9.0,0.14,19263959.92490273,17.143364204093814,25.545396422967315,1.134139249136976
9.0,0.16,36316536.04386508,22.422235319390893,37.14685305021703,1.6448362547254871
9.0,0.18,53369112.162827425,27.218600595369935,48.666557343676686,2.155533260313998
9.0,0.2,70421688.28178978,31.725823925808072,60.217636125162244,2.6662302659025094
9.0,0.22,87474264.40075214,36.043205158784986,71.81749851442873,3.176927271491021
10.0,0.08,-53937460.36660663,,,
10.0,0.1,-29576637.33951755,,,0.18477667419571436
10.0,0.12,-8000458.2849979745,6.550981802865863,5.566998617723584,0.21210547264549237
10.0,0.14,10314789.004749557,13.896116008982062,18.616379471495748,0.7228024782340042
10.0,0.16,27815180.342680406,19.645478716120124,30.40149719454348,1.2334994838225153
10.0,0.18,44867756.46164275,24.570158636197448,41.53118613176048,1.7441964894110267
10.0,0.2,61920332.58060511,29.143616324290633,52.735016448423266,2.254893494999538
10.0,0.22,78972908.69956747,33.49539800547063,64.04733429662883,2.765590500588049
11.0,0.08,-66082254.22544188,,,
11.0,0.1,-41721431.1983528,,,
11.0,0.12,-18215597.230202015,1.6489902045577765,,0.2909228684993271
11.0,0.14,1158704.2938398614,10.44820505194366,12.144991522654891,0.3114657073310325
11.0,0.16,19024109.09395923,16.68084436096251,23.759884713217616,0.8221627129195437
11.0,0.18,36366400.76045807,21.91426712088287,34.86174284480512,1.3328597185080548
11.0,0.2,53418976.879420444,26.572975935414433,45.658704498782754,1.843556724096566
11.0,0.22,70471552.99838279,30.9681988786906,56.619984889402986,2.354253729685077
12.0,0.08,-78227048.08427712,,,
12.0,0.1,-53866225.05718806,,,
12.0,0.12,-29505402.03009898,,,0.4172587115132378
12.0,0.14,-8646051.907683643,6.549418019130826,5.685593048110604,0.6655277201679255
12.0,0.16,9868024.383049544,13.507262943312526,17.39229024387896,0.41082594201657263
12.0,0.18,27733429.183168918,19.171979883685708,28.47943273372948,0.9215229476050838
12.0,0.2,44917621.17823578,24.00839044712484,39.03216258622706,1.432219953193595
12.0,0.22,61970197.29719812,28.45958317629993,49.58351948298514,1.9429169587821062
