scenario,project_npv_usd,project_irr_pct,equity_irr_pct,min_dscr,lcoe_usd_per_mwh,equity_invested_usd
Baseline (mixed),36291603.68556856,22.690452123060822,38.417539512738585,1.800824522834202,63.79139905318445,8847000.0
Gas $6.0 (low),53294315.08793792,28.265551896765828,53.849844029173255,2.6234980646401445,45.94786691703354,8847000.0
Gas $10.5 (high),14669449.049354374,15.332447038963437,21.25362609513104,0.7724825955767737,86.0958142233731,8847000.0
AI-heavy load,39849185.12626929,23.87920510955155,41.536595253273845,1.9584046532327972,63.791399053184456,8847000.0
Cloud-heavy load,32716505.95717186,21.592632262036204,35.791070433333516,1.671565348691967,63.791399053184456,8847000.0
Load-following,35446025.95427058,22.223539697006345,36.75574013032019,1.6063660867177307,61.562365282214266,8847000.0
